Alloy,Phase
Al0.375CoCrFeNi,FCC
Al0.44CoCrFeNi,FCC+IM
Al0.5CoCrFeNi,BCC+FCC
Al0.7CoCrFeNi,BCC+FCC+IM
Al0.75CoCrFeNi,BCC+FCC
Al0.8CoCrFeNi,BCC+FCC+IM
Al0.875CoCrFeNi,BCC+FCC
Al0.9CoCrFeNi,BCC+IM
AlCoCrFeNi2.1,FCC+IM
AlCoCr2FeNi,IM
Al1.2CoCrFeNi,BCC+IM
Al1.25CoCrFeNi,BCC
Al1.5CoCrFeNi,BCC
Al1.8CoCrFeNi,BCC+IM
Al2CoCrFeNi,BCC
Al2.08CoCrFeNi,BCC+IM
Al2.5CoCrFeNi,BCC
Al3CoCrFeNi,IM
AlCoCrFeNiSi0.2,BCC
AlCoCrFeNiSi0.4,BCC
AlCoCrFeNiSi0.6,BCC+IM
AlCoCrFeNiSi0.8,BCC+IM
AlCoCrFeNiSi,BCC+IM
Al0.2Co1.5CrFeNi1.5Ti0.5,FCC
Al0.2Co1.5CrFeNi1.5Ti,FCC
Al0.3CoCrFeNiTi0.1,FCC
Al0.3CoCrFeNiTi0.2,FCC+IM
Al0.5CoCrFeNiTi,BCC+IM
Al0.6CoCrFeNiTi0.4,FCC+IM
AlCoCrFeNiTi0.6,BCC
AlCoCrFeNiTi0.7,BCC+IM
AlCoCrFeNiTi,BCC+IM
AlCoCrFeNiTi1.5,BCC+IM
AlCo1.5CrFeNiTi0.5,BCC+FCC
AlCo2CrFeNiTi0.5,BCC+FCC
AlCo3CrFeNiTi0.5,BCC+FCC
Al1.5CoCrFeNiTi,BCC
Al0.43CoCr0.29NiSi0.14,FCC+IM
Al0.8CoCrNiSi0.2,BCC+IM
AlCo0.2CuFeNi,FCC+IM
AlCo0.5CuFeNi,FCC+IM
AlCoCu0.5FeNi,BCC+FCC
AlCoCuFeNi,BCC+FCC
AlCo1.5CuFeNi,FCC+IM
AlCo2CuFeNi,FCC+IM
AlCo3CuFeNi,FCC
AlCoCuFeNiSi,BCC+FCC
AlCoCuFeNiTi,BCC+FCC
AlCoCuFeNiZr,FCC+IM
AlCoCuNi,BCC+FCC
AlCoCuNiTiZn,BCC+FCC
AlCoFeMo0.5Ni,IM
Al0.25CoFeNi,FCC
Al0.5CoFeNi,FCC+IM
Al0.75CoFeNi,FCC+IM
AlCoFeNi,IM
Al0.6CoFeNiTi0.4,BCC+FCC
